nombre,email,telefono,peso,altura
Marcelina Marquez,constantly1979@live.com,955-613-189,69,1.93
Pepe Aguilar,affects1825@outlook.com,950348320,43,1.93
Elvira Crespo,blades1948@gmail.com,+34 913 81 55 89,50,1.79
Sergio Marquez,plants2022@duck.com,976599349,65,1.78
Juan José Medina,awful1999@example.com,988 704 531,88,1.80
Nerea Sanchez,celebrities1933@outlook.com,920 677 659,45,1.51
Tomas Campos,nba2005@live.com,900.514.278,86,1.84
Arantxa Castillo,holland1937@example.com,+34 917 35 12 98,75,1.89
Enrique Caballero,auckland1998@yahoo.com,945-203-487,45,1.71
Javiera Martin,reached1899@gmail.com,918-559-363,44,1.87
Xaverius Izquierdo,controlling1959@gmail.com,906.643.037,68,1.79
Montego Gutierrez,sacrifice1899@yahoo.com,922089791,65,1.54
Kiki Alvarez,attend1960@yahoo.com,971 510 812,64,1.82
Nerea Redondo,peers1993@live.com,996 808 315,42,1.96
Ismael Dominguez,venture2074@outlook.com,986.324.335,65,1.66
Chaxiraxi Hernandez,plain2035@protonmail.com,+34 916 05 39 35,59,1.78
Mónica Sanz,addiction2096@yandex.com,994063599,43,1.90
Antonia Flores,jeff2000@duck.com,959941976,88,1.81
Thiago Pascual,safety2043@live.com,955582608,40,1.85
Teodora Cano,internship1980@duck.com,915 186 829,88,1.84
Alan Gimenez,holocaust1905@protonmail.com,986.446.291,87,2.00
Max Vila,cement1812@example.com,996-250-046,65,1.77
Patri Crespo,allows1911@example.com,945304141,63,1.52
Elena Serrano,truth1978@yahoo.com,+34 918 71 21 61,41,1.73
David Prieto,audio2088@outlook.com,960 051 023,55,1.73
Margarita Merino,reservation1948@gmail.com,921.338.320,82,1.91
Juan José Martinez,payable1944@yahoo.com,+34 918 92 01 75,62,1.68
Cortez Vidal,desk1999@protonmail.com,904 757 293,45,1.96
Enka Leon,least1989@protonmail.com,+34 912 63 68 98,87,1.89
Bronco Delgado,insulin1858@example.com,949 804 905,84,1.63
Mayte Ferrer,milwaukee1890@outlook.com,943 067 074,41,1.90
Alejandra Delgado,packaging2095@yahoo.com,965 035 085,84,1.72
Juanma Carrasco,reviewer1800@protonmail.com,994.074.448,77,1.82
Naiara Diez,motivation1914@outlook.com,907 501 207,56,1.86
Tomas Cabrera,leaf1999@example.org,+34 911 46 59 29,74,1.53
Kevin Suarez,content1888@duck.com,964.363.567,48,1.54
Noe Montero,behind1816@example.com,916-650-278,80,1.94
Juan Sebastián Leon,unnecessary1946@example.com,936-504-391,72,1.64
Filomena Marquez,soa2028@gmail.com,937977931,89,1.59
